brand,url,name,price,image,dimensions,weight,os,generation,screenSize,resolution,touchScreen,backlitKeyboard,internalMemory,ram,graphicsCard,processorType,processorSpeed,battery,BT,wifi,USB,camera,fingerPrintReader
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-thinkbook-15-15-6-inches
","lenovo thinkbook 15 15 6 inches
","Rs  142,900",https://images.priceoye.pk/lenovo-thinkbook-15-15-6-inches-pakistan-priceoye-e6ce5-500x500.webp,N/A,1.7 kg (3.75 lbs),DOS,11th Generation,15.6 Inches,1920 x 1080 ,No,Yes,1TB HDD,8 GB,Integrated Intel Iris Xe Graphics functions as UHD Graphics,Intel Core i7,2.8 Ghz Turbo Boost Up to 4.7 GHz ,N/A,BT 5.1,"Intel AX201 11ax, 2x2",3 Ports,Touch Style,720p with ThinkShutter
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-yoga-6-amd-ryzen-7-13-3-inches-16gb-ram-01tb-ssd
","lenovo yoga 6 amd ryzen 7 13 3 inches 16gb ram 01tb ssd
","Rs  179,999",https://images.priceoye.pk/lenovo-yoga-6-amd-ryzen-7-13-3-inches-16gb-01tb-ssd-pakistan-priceoye-vy20g-500x500.webp,308.1 x 206.5 x 17.1-18.3 mm,1.32kg / 2.91lbs,Genuine Windows 10,AMD,13.3 Inches,1920 x 1080,Yes,Yes,1 TB HDD,16 GB,Integrated AMD Radeon™ Graphics,AMD Ryzen 7 5700U,2.0 GHz Max. Boost Clock Up to 4.1GHz ,Integrated 60Wh,BT5.0,"11ax, 2x2",4 Ports,Yes,720p with Privacy Shutter
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-yoga-9i-14-inches-core-i7-16gb-ram-512gb-ssd
","lenovo yoga 9i 14 inches core i7 16gb ram 512gb ssd
","Rs  288,999",https://images.priceoye.pk/lenovo-yoga-9i-14-inches-core-i7-16gb-ram-512gb-ssd-pakistan-priceoye-b2zjm-500x500.webp,319.4 x 216.4 x 14.6-15.7 mm,1.44 kg (3.17 lbs),Genuine Windows 10 Home,11th Generation,14 Inches,1920 x 1080 ,Yes,Yes,512GB SSD,16 GB,Integrated Intel Iris Xe Graphics,Intel Core i7,3.0 Ghz Turbo Boost Up to 4.8 GHz,Integrated 60Wh,BT 5.1,"11ax, 2x2",3 Ports,Yes,Camera privacy shutter
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-legion-5-pro-16-inches-amd-ryzen-7-16gb-ram-512gb-ssd
","lenovo legion 5 pro 16 inches amd ryzen 7 16gb ram 512gb ssd
","Rs  388,900",https://images.priceoye.pk/lenovo-legion-5-pro-16-inches-amd-ryzen-7-16gb-ram-512gb-ssd-pakistan-priceoye-vrff0-500x500.webp,21.7-26.85mm x 356mm x 264.2 mm,2.45 kg (5.4 lbs),Genuine Windows 11,AMD,16 Inches,2560 x 1600,No,Yes,512GB SSD,16 GB,"NVIDIA GeForce RTX 3070 8GB GDDR6, Boost Clock 1560 / 1620MHz, TGP 140W",AMD Ryzen 7,3.2 GHz Turbo Boost up to 4.4 GHz,Up to 8 hours (MM18),Bluetooth® 5.1,802.11AX (2 x 2),4 Ports,No,720p with E-camera Shutter
apple,"https://priceoye.pk/laptops/apple/apple-macbook-air-13-3-inches-core-i3-8gb-ram-256gb-ssd-mwtk2
","apple macbook air 13 3 inches core i3 8gb ram 256gb ssd mwtk2
","Rs  155,000",https://images.priceoye.pk/apple-macbook-air-13-3-inches-core-i3-8gb-ram-256gb-ssd-mwtk2-pakistan-priceoye-fgvg8-500x500.webp,0.16–0.63  x 11.97 x 8.36 Inches (H x W x D),2.8 pounds (1.29 kg),mac OS,10th Generation,13.3 Inches,2560 x 1600 ,No,Yes,256GB SSD,8 GB,Intel Iris Plus Graphics,Intel Core i3,"1.1GHz dual-core Intel Core i3, Turbo Boost up to 3.2GHz, with 4MB L3 cache",Built-in 49.9‑watt‑hour lithium‑polymer battery,Yes,Yes,3 Ports,Yes,720p FaceTime HD camera
infinix,"https://priceoye.pk/laptops/infinix/infinix-inbook-x1-14-inches-core-i5-8gb-ram-512gb-ssd
","infinix inbook x1 14 inches core i5 8gb ram 512gb ssd
","Rs  99,999",https://images.priceoye.pk/infinix-inbook-x1-14-inches-core-i5-8gb-ram-512gb-ssd-pakistan-priceoye-gdwih-500x500.webp,323.5  x 219.5 x 16.3 mm,1.48 kg,Windows 10 Home,10th Generation,14 Inches,1920 x 1080,Yes,Yes,512 GB,8 GB,Intel UHD Graphics,Intel Core i5,1.3 GHz,6 2.4GHz ,Yes,Yes,3 Ports,Yes,720P HD camera
asus,"https://priceoye.pk/laptops/asus/asus-tuf-dash-f15-516p-tiger-lake-11th-gen-core-i7-quadcore-processor-08gb-512gb-ssd
","asus tuf dash f15 516p tiger lake 11th gen core i7 quadcore processor 08gb 512gb ssd
","Rs  215,900",https://images.priceoye.pk/asus-tuf-dash-f15-516p-tiger-lake-11th-gen-core-i7-quadcore-processor-08gb-512gb-ssd-pakistan-priceoye-x5ck7-500x500.webp,36.0 x 25.2 x 1.99 ~ 1.99 cm,2 kg,Genuine Windows 10 Home,11th Generation,15.6 inches,1920 x 1080,No,Yes,512 GB SSD,8GB,"NVIDIA® GeForce RTX™ 3050TI Laptop GPU,Up to 1600MHz at 60W (75W with Dynamic Boost),4GB GDDR6",Intel Core i7,3.3 GHz Turbo Boost Up to 4.8 GHz,"76WHrs, 4S1P, 4-cell Li-ion",v5.1,Yes,"3x USB 3.2 Gen 1 Type-A, 1x Thunderbolt™ 4 support DisplayPort™ / power delivery",No,No
asus,"https://priceoye.pk/laptops/asus/asus-rog-zephyrus-m16-gu603-core-i9-octacore-processor-16gb-1-tb-ssd
","asus rog zephyrus m16 gu603 core i9 octacore processor 16gb 1 tb ssd
","Rs  358,900",https://images.priceoye.pk/asus-rog-zephyrus-m16-gu603-core-i9-octacore-processor-16gb-1-tb-ssd-pakistan-priceoye-lscud-500x500.webp,35.5 x 24.3 x 1.99 ~ 1.99 cm,1.90 Kg,Genuine Windows 10 Home,11th Generation,16 inches,2560 x 1600,No,Yes,1TB SSD,16GB,NVIDIA® GeForce RTX™ 3060 Laptop GPU With ROG Boost up to 1525MHz at 80W (95W with Dynamic Boost) 6GB GDDR6,Intel Core i9,2.5 GHz Turbo Boost up to 4.9 GHz,"90WHrs, 4S1P, 4-cell Li-ion",v5.2,Wi-Fi 6(802.11ax),1x USB 3.2 Gen 2 Type-A 1x USB 3.2 Gen 1 Type-A 1x USB 3.2 Gen 2 Type-C support DisplayPort / power delivery,Yes,720P HD camera
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-3501-15-6-inches-core-i3-1115g4-4gb-ram-1tb-hdd
","dell inspiron 3501 15 6 inches core i3 1115g4 4gb ram 1tb hdd
","Rs  88,999",https://images.priceoye.pk/dell-inspiron-3501-15-6-inches-core-i3-1115g4-4gb-ram-1tb-hdd-pakistan-priceoye-crhae-500x500.webp,5.90 x 97.15 x 184.15 mm,4.93 lbs,DOS,11th Generation,15.6 inches,1920 x 1080,No,No,1TB HDD,04 GB,Intel® UHD Graphics with shared graphics memory DDR4,Intel Core i3,1.7 GHz Up to 4.1 GHz (2 Cores - 4 Threads),"3-cell, Li-Ion",Yes,802.11ac 1x1 WiFi,3 Ports,No,Yes
dell,"https://priceoye.pk/laptops/dell/dell-latitude-7400-14-inches-core-i5-8gb-ram-256gb-ssd
","dell latitude 7400 14 inches core i5 8gb ram 256gb ssd
","Rs  93,000",https://images.priceoye.pk/dell-latitude-7400-14-inches-core-i5-8gb-ram-256gb-ssd-pakistan-priceoye-edbxj-500x500.webp,17.82 x 321.35 x 214.08 mm,3.26 lb (1.48 kg),DOS,08th Generation,14 Inches,1920x1080,No,Yes,256GB SSD,8 GB  ,Integrated Intel® UHD 620 Graphics,Core i5-8365U,1.6 GHz Turbo Boost 4.1 (6 MB Cache),N/A,Bluetooth 5.0,Intel® Dual Band Wireless AC 9560 (802.11ac) 2x2,4 Ports,No,Yes
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-3502-15-6-inches-intel-celeron-4gb-ram-128-gb-ssd
","dell inspiron 3502 15 6 inches intel celeron 4gb ram 128 gb ssd
","Rs  86,199",https://images.priceoye.pk/dell-inspiron-3502-15-6-inches-intel-celeron-4gb-ram-128-gb-ssd-pakistan-priceoye-9y0es-500x500.webp,9.8 x 14.33 x 0.71 inches,1.77 kg (3.91 lb.),Genuine Windows 10 Home,No Generation,15.6 Inches,1366x768,No,No,128GB SSD,4 GB,Intel(R) UHD Graphics 600 with shared graphics memory,Intel Celeron N4020,"1.1 GHz, up to 2.8 GHz 4 MB cache, 2 cores",N/A,Yes,802.11ac 1x1 WiFi,2 Ports,No,720p at 30 fps HD camera
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-7506-15-6-inches-core-i7-16gb-ram-512gb-ssd
","dell inspiron 7506 15 6 inches core i7 16gb ram 512gb ssd
","Rs  207,000",https://images.priceoye.pk/dell-inspiron-7506-15-6-inches-core-i7-16gb-ram-512gb-ssd-pakistan-priceoye-y5u7z-500x500.webp,16.40 x 14.02 x 9.39,1.95 kg (4.30 lb),Genuine Windows 11 Home,11th Generation,15.6 Inches,1920x1080,Yes,Yes,512GB SSD,16 GB,Intel® Iris® Xe Graphics with shared graphics memory,Intel Core i7,2.8 Ghz Turbo Boost Up to 4.7 GHz (4 Cores - 8 Threads),N/A,Yes,Intel(R) Wi-Fi 6 2x2 (Gig+),4 Ports,Yes,Yes With Privacy Shutter
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-3511-15-6-inches-11th-gen-core-i5-win10-8gb-ram-1tb-sata
","dell inspiron 3511 15 6 inches 11th gen core i5 win10 8gb ram 1tb sata
","Rs  130,999",https://images.priceoye.pk/dell-inspiron-3511-15-6-inches-core-i5-8gb-ram-1tb-hdd-pakistan-priceoye-unb3c-500x500.webp,17.5x 358.5x 235.5 mm,1.85 kg,Windows 10 Home,11 gen,15.6 Inches,1920 X 1080,No,No,1TB SATA,8GB(8GBx1),INTEL IRIS Xe GRAPHICS,Core i5,4.2 GHz,"3 Cell, 41 Wh, integrated",Yes,802.11ac 1x1,2 Ports,No,720p
dell,"https://priceoye.pk/laptops/dell/dell-xps-9305-13-3-inches-core-i5-1135g7-8gb-ram-256gb-ssd
","dell xps 9305 13 3 inches core i5 1135g7 8gb ram 256gb ssd
","Rs  235,000",https://images.priceoye.pk/dell-xps-9305-13-3-inches-core-i5-1135g7-processor-8gb-ram-256gb-ssd-pakistan-priceoye-vex67-500x500.webp,15.8 mm x 302 mm x 199 mm,1.16 kg,Window 10 Home ,Core i5 -1135G7,13.3 Inches,1920 x 1080,No,Yes,256GB SSD,8 GB,Intel Iris Xe Graphics,Intel Core i5 - 1135G7,"(8MB Cache, up to 4.2 GHz)","4-Cell, 52 WHr, Integrated battery",Bluetooth 5.1,Wi-Fi 6 AX1650 (2 x 2) ,3 Ports,Yes, 720p at 30 fps
dell,"https://priceoye.pk/laptops/dell/dell-latitude-7420-14-inches-core-i7-1165g7-16gb-ram-512gb-ssd
","dell latitude 7420 14 inches core i7 1165g7 16gb ram 512gb ssd
","Rs  285,000",https://images.priceoye.pk/dell-latitude-7420-14-inches-core-i7-1165g7-16gb-ram-512gb-ssd-pakistan-priceoye-olun6-500x500.webp,322.58 x 208.28 x 17.78,1.2 kg,Windows 10 Home,11th Generation,14 Inches,1920 x 1080,Yes,Yes,512GB SSD,16 GB,Intel Iris Xe Graphics,Intel Core i7-1165G7,2.8 Ghz Turbo Boost Up to 4.7 GHz,4-cell Capacity 63 watt hour,Bluetooth 5.1,"Wi-Fi 6), IEEE 802.11b",3 Ports,Yes,720p at 30 fps HD camera
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-5410-14-inches-11th-gen-core-i5-1135g7-nvidia-ge-force-mx350-8gb-ram-512gb-ssd
","dell inspiron 5410 14 inches 11th gen core i5 1135g7 nvidia ge force mx350 8gb ram 512gb ssd
","Rs  222,504",https://images.priceoye.pk/dell-inspiron-14-5410-2-in-1-14-inch-11th-gen-core-i5-8gb-4gbx2-ram-512-gb-m-2-pcie-nvme-ssd-intel-iris-xe-graphics-pakistan-priceoye-qidsm-500x500.webp,18.30x 321.5x 211.35 mm,1.65 kg (3.64 lb),Windows 11,11th Generation,14 inches,1920x1080,Yes,Yes,512 GB M.2 PCIE NVME SSD HDD,8GB (4GBx2),NVIDIA GE FORCE MX350 2GB GDDR5 GRAPHICS,Core i5 1135G7,4.2 GHz,"41 Wh, 3-cell polymer",Bluetooth 5.1,Yes,3 Ports,Yes,"720p at 30 fps, HD"
dell,"https://priceoye.pk/laptops/dell/dell-xps-13-4-inches-9310-11-gen-corei5-1135g7-8gb-512gb
","dell xps 13 4 inches 9310 11 gen corei5 1135g7 8gb 512gb
","Rs  360,800",https://images.priceoye.pk/dell-xps-13-4-inches-9310-11-gen-corei5-1135g7-8gb-512gb-pakistan-priceoye-1gmhl-500x500.webp,296 x 199 x 14.8mm,1.2 kg,Windows 10 Home,11th Gen,13.4 inches,1920 x 1200,N/A,Yes,512GB SSD,8 GB,Intel Iris Xe Graphics,Intel Core i5,2.4 GHz upto 4.2 GHz,N/A,Yes,Yes,3 Ports,Yes,Yes
hp,"https://priceoye.pk/laptops/hp/hp-chromebook-14-g4-intel-celeron-02gb-ram-16gb-ssd
","hp chromebook 14 g4 intel celeron 02gb ram 16gb ssd
","Rs  16,999",https://images.priceoye.pk/hp-chromebook-14-g4-intel-celeron-02gb-ram-16gb-ssd-pakistan-priceoye-63448-500x500.webp,4.75 x 26.8 x 30 mm,3.1 g, Chrome OS,Intel Celeron,14 Inches,1366x7678,No,No,16GB SSD,2 GB,Intel HD graphics,Intel Celeron N2840,"2.16 GHz, up to 2.58 GHz, 1 MB cache, 2 cores",HP 3-cell (37 WHr) Li-Ion polymer battery,Bluetooth 4.0,Intel dual band Wireless-AC 7260 802.11ac (2x2) Wi-F,3 Ports,No,"HD2 camera, 1280 x 720 by 30 frames per second"
hp,"https://priceoye.pk/laptops/hp/hp-chromebook-x360-11-6-inches-intel-celeron-4gb-ram-32gb-hdd
","hp chromebook x360 11 6 inches intel celeron 4gb ram 32gb hdd
","Rs  44,900",https://images.priceoye.pk/hp-chromebook-x360-11-6-inches-intel-celeron-4gb-ram-32gb-hdd-pakistan-priceoye-ocl1v-500x500.webp,20.78 x 30.58 x 2.11 cm,1.47 kg ,Chrome OS,Intel Celeron,11.6 Inches,1366x768,Yes,No,32 GB,04 GB,Intel UHD Graphics 600 (integrated),Intel Celeron N4020,"1.1 GHz, up to 2.8 GHz 4 MB cache, 2 cores With Intel UHD Graphics 600","Long life 2-cell, 47.36 Wh Li-ion",Bluetooth 5.0,Intel Dual Band Wireless-AC 9560 802.11ac (2x2) WiFi,2 Ports,No,20p HD camera - 5 MP camera
hp,"https://priceoye.pk/laptops/hp/hp-pavilion-gaming-laptop-a0051wm-16-1-inches-core-i5-8gb-ram-256gbssd
","hp pavilion gaming laptop a0051wm 16 1 inches core i5 8gb ram 256gbssd
","Rs  160,000",https://images.priceoye.pk/hp-pavilion-gaming-laptop-a0051wm-16-1-inches-core-i5-8gb-ram-256gbssd-pakistan-priceoye-mes0f-500x500.webp,Dimensions,2.35 kg,Genuine Windows 10 Home,10th Generation,16.1 Inches,1920x1080,No,Yes,256GB SSD,8 GB,NVIDIA GeForce GTX 1650 4 GB GDDR6,Intel Core i5,2.5 GHz Turbo Boost 4.5 GHz (8 MB Cache),"3-cell, 52.5 Wh Li-ion polymer",Bluetooth 5 Combo,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,3 Ports,No,HP True Vision 720p HD camera with integrated dual array digital microphones
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-ideapad-3-15-6-inches-core-i3-04gb-ram-128gb-ssd
","lenovo ideapad 3 15 6 inches core i3 04gb ram 128gb ssd
","Rs  84,999",https://images.priceoye.pk/lenovo-ideapad-3-15-6-inches-core-i3-04gb-128gb-ssd-pakistan-priceoye-ki4ak-500x500.webp,362.2 x 253.4 x 19.9 mm ,1.7 kg ,Genuine Windows 11 Home,11th Generation,15.6 Inches,1920 x1080 ,No,Yes,128GB SSD,4 GB,Intel UHD Graphics,Intel Core i3 - 1115G4,1.7 GHz Up to 4.1 GHz ,Integrated 35Wh,Yes,"11ac, 2x2",3 Ports,Yes,720p Webcam with Privacy Shutter
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-thinkpad-p1-16-inches-core-i9-32gb-ram-01tb-ssd
","lenovo thinkpad p1 16 inches core i9 32gb ram 01tb ssd
","Rs  574,999",https://images.priceoye.pk/lenovo-thinkpad-p1-16-inches-core-i9-32gb-ram-01tb-ssd-pakistan-priceoye-z3stw-500x500.webp,375.4 x 252.3 x 24.5-31.45 mm,1.8kg / 3.99lbs,Genuine Windows 10 Pro,11th Generation,16 Inches,3840 x 2400,No,Yes,1TB SSD,32 GB,NVIDIA® GeForce RTX™ 3080 with Max-Q 16GB,Intel® Core i9-11950H Octa-Core ,2.6 GHz Turbo Boost up to 5.0 GHz,N/A,Bluetooth 5.2,"Intel AX210 11ax, 2x2",4 Ports,Yes,1080p FHD camera with webcam privacy shutter
apple,"https://priceoye.pk/laptops/apple/apple-macbook-pro-16-mk193
","apple macbook pro 16 mk193
","Rs  671,900",https://images.priceoye.pk/apple-macbook-pro-16-mk193-pakistan-priceoye-y2kbu-500x500.webp,0.61 x 14.01 x 9.77 inches,4.7 pounds (2.1 kg),macOS,M1,16.2 Inches,3456x2234,No,Yes,1 TeraByte SSD,16 GB,Apple M1 Pro Graphics,Apple M1,10-core CPU with 8 performance cores and 2 efficiency cores 16-core GPU 16-core Neural Engine,100-watt-hour lithium-polymer battery2,Yes,Yes,Yes,Yes,1080p FaceTime HD camera Advanced image signal processor with computational video
asus,"https://priceoye.pk/laptops/asus/asus-tuf-dash-15-fx516pe-gaming-tiger-lake-11th-gen-core-i5-quadcore-08gb-512gb-ssd-4-gb
","asus tuf dash 15 fx516pe gaming tiger lake 11th gen core i5 quadcore 08gb 512gb ssd 4 gb
","Rs  219,999",https://images.priceoye.pk/asus-tuf-dash-15-fx516pe-gaming-tiger-lake-11th-gen-core-i5-quadcore-08gb-512gb-ssd-4-gb-pakistan-priceoye-utcvu-500x500.webp,30.42 x 20.3 x 1.39 ~ 1.39 cm,1.14 kg,Genuine Windows 10 Home,11th Generation,13.3 Inches,1920 x 1080,No,Yes,1TB SSD,16GB,Intel Iris-Xe Graphics,Intel Core i7,2.8 Ghz Turbo Boost Up to 4.7 GHz,"67WHrs, 4S1P, 4-cell Li-ion",v5.0,Yes,1x USB 3.2 Gen 1 Type-A 2x Thunderbolt™ 4 supports display / power delivery,No,HD camera with IR function
asus,"https://priceoye.pk/laptops/asus/asus-zenbook-duo-14-ux482-ice-lake-11th-gen-core-i7-16gb-1-tb-ssd
","asus zenbook duo 14 ux482 ice lake 11th gen core i7 16gb 1 tb ssd
","Rs  329,999",https://images.priceoye.pk/asus-zenbook-duo-14-ux482-ice-lake-11th-gen-core-i7-16gb-1-tb-ssd-pakistan-priceoye-byd47-500x500.webp,32.40 x 22.20 x 1.69 ~ 1.73 cm,1.57 kg,Genuine Windows 10 Home,11th Generation,14 inches,1920x1080 & 1920 x 515,Yes,Yes,1TB SSD,16GB,"NVIDIA® GeForce® MX450,2GB GDDR6",Intel Core i7,2.8 Ghz Turbo Boost Up to 4.7 GHz,"70WHrs, 4S1P, 4-cell Li-ion",v5.0,Wi-Fi 6(802.11ax),1x USB 3.2 Gen 1 Type-A 2x Thunderbolt™ 4 supports display / power delivery,No,HD camera with IR function
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-7504
","dell inspiron 7504
","Rs  122,500",https://images.priceoye.pk/dell-inspiron-7504-pakistan-priceoye-aex78-500x500.webp,221.90 x 322.50 x 16.44 mm (D x W x H),1.55kg,Genuine Windows 10 Home,AMD,14 inches,1920x1080,Yes,Yes,256 GB SSD,08 GB DDR4 3200,AMD Integrated Graphics,AMD® Ryzen™ 5 4500U,"2.3 GHz, up to 4.0 GHz Max Boost, 8 Cores, 8 Threads, 8 MB Cache",3-cell lithium ion,Yes,Yes,"2 x USB 3.2 Gen 1 , 1 x USB 3.2 Gen 1 Type-C™ (DP/PowerDelivery)",Yes,Yes
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-5406-14-inches-core-i5-8gb-ram-512gb-ssd
","dell inspiron 5406 14 inches core i5 8gb ram 512gb ssd
","Rs  178,000",https://images.priceoye.pk/dell-inspiron-5406-14-inches-core-i5-8gb-ram-512gb-ssd-pakistan-priceoye-cahr7-500x500.webp,18.94  x 324.30 x 222.80 mm ,1.62 kg,Genuine Windows 10 Home,11th Generation,14 Inches,1920x1080,Yes,Yes,512GB SSD,8 GB,2-GB Nvidia MX330 GDDR5 Graphics,Intel Core i5,2.4 GHz Turbo Boost 4.2 GHz (4 Cores - 8 Threads),"3-cell 40 Whr, smart lithium ion, ExpressCharge",Bluetooth 5.1,Intel® Wi-Fi 6 2x2,2 Ports,Yes,HD Camera with Kill Switch
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-5410-14-inches-11-gen-core-i7-11370h-8gb-ram-512gb-ssd
","dell inspiron 5410 14 inches 11 gen core i7 11370h 8gb ram 512gb ssd
","Rs  186,000",https://images.priceoye.pk/dell-inspiron-5410-14-inches-core-i7-11370h-processor-8gb-ram-512gb-ssd-pakistan-priceoye-2fduj-500x500.webp,17.99 mm x 321.27 mm x  212.8 mm,1.461 kg,Windows 10 Home,11th Generation,14 Inches,1920 x 1080,No,Yes,512GB SSD,8 GB,Intel Iris Xe Graphics,Core i7 - 11370H,"(12MB Cache, up to 4.8GHz)","4-cell, 54 WHr polymer, integrated",Bluetooth 5.0,"Wi-Fi 6 AX201, 2x2, 2.40 GHz/5 GHz,",3 Ports,Yes,720p at 30 fps HD camera
dell,"https://priceoye.pk/laptops/dell/dell-xps-9510-15-inches-core-i7-11800h-16gb-ram-1tb-ssd
","dell xps 9510 15 inches core i7 11800h 16gb ram 1tb ssd
","Rs  445,000",https://images.priceoye.pk/dell-xps-9510-15-inches-core-i7-11800h-16gb-ram-1tb-ssd-pakistan-priceoye-0m9sv-500x500.webp,18.0 mm x 344.72 mm x 230.14 mm,1.8 kg,Windows 10 Home,11th Generation,15.6 Inches,1920 X 1200,No,Yes,1TB HDD,16 GB,NVIDIA GEFORCE RTX3050 ,Core i7 - 11800H ,"24MB Cache, up to 4.6 GHz, 8 cores","6-Cell Battery, 86WHr (Integrated)   ",Bluetooth 5.1,Wi-Fi 6 AX1650 (2x2),3 Ports,Yes,720p at 30 fps HD camera
dell,"https://priceoye.pk/laptops/dell/dell-latitude-3520-15-6-inches-core-i3-1115g4-8gb-ram-256gb-ssd
","dell latitude 3520 15 6 inches core i3 1115g4 8gb ram 256gb ssd
","Rs  115,000",https://images.priceoye.pk/delllatitude-3520-i3-1115g4-8gb-256-fhd-bg-pakistan-priceoye-0pe2q-500x500.webp,18.06 mm x 361 mm x 240.9 mm,1.79 kg,Windows 10 Home,11th Generation,15.6 Inches,1920 x 1080,Yes,Yes,256GB SSD,8GB ,Intel Iris Xe Graphics ,Intel Core i7-1165G7,"4 Core, 12M Cache, base 2.8 GHz, up to 4.7 GHz",4 Cell 54Whr,Bluetooth 5.1   ,Wi-Fi 6 AX201 2x2,4 Ports,Yes,720p at 30 fps HD camera
dell,"https://priceoye.pk/laptops/dell/dell-latitude-5520-i5-6-inches-core-i5-1135g7-8gb-ram-256gb-ssd
","dell latitude 5520 i5 6 inches core i5 1135g7 8gb ram 256gb ssd
","Rs  172,000",https://images.priceoye.pk/dell-latitude-5520-i5-6-inches-core-i5-1135g7-8gb-ram-256gb-ssd-pakistan-priceoye-gqikd-500x500.webp,19.87mm x 357.8mm x 233.3 mm,1.59 KG,Windows 10,11th Generation,15.6 Inches,1920 x 1080,No,Yes,256GB SSD,8 GB,Intel Iris Xe Graphics,Intel Core i5 - 1135G7,"4 Core, 8M cache, base 2.4GHz, up to 4.2GHz",4 Cell 63Whr,Bluetooth 5.1,Intel® Wi-Fi 6 AX201 2x2,2 Ports,Yes,720p at 30 fps HD camera
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-5410-14-inches-11th-gen-core-i5-8gb-ram-512gb-ssd
","dell inspiron 5410 14 inches 11th gen core i5 8gb ram 512gb ssd
","Rs  207,208",https://images.priceoye.pk/inspiron-5410-14-inches-11th-gen-core-i5-8gb-ram-512gb-ssd-pakistan-priceoye-kc25j-500x500.webp,18.30x 321.5x 211.35 mm,1.65 kg (3.64 lb),Windows 11 Home,11th Gen,14 Inches,1920x1080 Pixels,Yes,Yes,512 GB M.2 PCIE NVME SSD HDD,8GB(4GB*2),INTEL IRIS Xe GRAPHICS,Core i5 1135G7,4.2 GHz,"41 Wh, 3-cell polymer",Yes,Yes,3 Ports,Yes,720p at 30 fps
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-3511-15-6-inches-11th-gen-core-i5-win11-8gb-ram-1tb-sata
","dell inspiron 3511 15 6 inches 11th gen core i5 win11 8gb ram 1tb sata
","Rs  149,396",https://images.priceoye.pk/dell-inspiron-3511-15-6-inches-11-gen-core-i5-8gb-ram-1tb-sata-pakistan-priceoye-ud5d1-500x500.webp,17.5x 358.5x 235.5 mm,1.85 KG,Windows 11 HOME,11 Gen,15.6 Inches,1920x1080 Pixels,No,No,1TB SATA,8GB(8GBx1),INTEL IRIS Xe GRAPHICS,Core i5,4.20 GHz,"3 Cell, 41 Wh, integrated",Yes,Yes,2 USB 3.2 -1 USB 2.0,No,720p
dell,"https://priceoye.pk/laptops/dell/dell-xps-15-9510-15-6-inches-11-gen-core-i7-11900h-nvidia-geforce-rtx3050-ti-4gb-gddr6-32gb-1tb
","dell xps 15 9510 15 6 inches 11 gen core i7 11900h nvidia geforce rtx3050 ti 4gb gddr6 32gb 1tb
","Rs  632,000",https://images.priceoye.pk/dell-xps-15-9510-15-6-inches-11-gen-core-i7-11900h-nvidia-geforce-rtx3050-ti-4gb-gddr6-32gb-1tb-pakistan-priceoye-ke6v8-500x500.webp,N/A,1.8 kg,Windows 11 HOME,11 gen,15.6-inch,OLED 3.5K (3456 X 2160) INFINITY EDGE TOUCH DISPLAY ANTI REFLECTIVE 500 NIT DISPLAY,YES,Yes,1TB,32GB( 16gb x 2),NVIDIA GEFORCE RTX3050 Ti 4GB GDDR6,Intel Core i9-11900H,2.5Ghz Turbo upto 4.9GHz,N/A,Yes,Yes,3 Ports,Yes,Yes
hp,"https://priceoye.pk/laptops/hp/hp-chromebook-x360-14-inches-core-i3-8gb-ram-64gb-ssd
","hp chromebook x360 14 inches core i3 8gb ram 64gb ssd
","Rs  60,000",https://images.priceoye.pk/hp-chromebook-x360-14-inches-core-i3-8gb-ram-64gb-ssd-pakistan-priceoye-pr8h2-500x500.webp,N/A,1.68 kg,ChromeOS,08th Generation,15.6 Inches,1920x1080,Yes,No,64 GB SSD,8 GB,Intel® HD Graphics 620 Integrated,Intel Core i3,2.2 GHz Max Turbo Boost Frequency 3.4 GHz (4 MB Cache),N/A,Bluetooth 4.2 combo,Intel 802.11b/g/n/ac (2x2) Wi-Fi,3 Ports,No,HP Wide Vision HD Camera with integrated dual array digital microphone
