brand,url,name,price,image,dimensions,weight,os,generation,screenSize,resolution,touchScreen,backlitKeyboard,internalMemory,ram,graphicsCard,processorType,processorSpeed,battery,BT,wifi,USB,camera,fingerPrintReader
dell,"https://priceoye.pk/laptops/dell/dell-inspiron-3501-15-6-inches-11th-gen-core-i5-8gbram-1tb-sata
","dell inspiron 3501 15 6 inches 11th gen core i5 8gbram 1tb sata
","Rs  145,962",https://images.priceoye.pk/dell-inspiron-3501-15-6-inches-11th-gen-core-i5-8gb-1tb-pakistan-priceoye-sw0kt-500x500.webp,19.9x 363.96x 249 mm,1.83 kg,Windows 10 Home,11th Generation,15.6 Inches,(1920 X 1080),No,No,1TB SATA,8GB(8GBx1),INTEL IRIS Xe GRAPHICS,Core i5,3.4 GHz,4 cell Lithium Polymer,Yes,Yes,2 Ports,No,720p
hp,"https://priceoye.pk/laptops/hp/hp-250-g8-tiger-lake-core-i3-4gb-ram-01-terabyte-hdd
","hp 250 g8 tiger lake core i3 4gb ram 01 terabyte hdd
","Rs  92,000",https://images.priceoye.pk/hp-250-g8-tiger-lake-core-i3-4gb-ram-01-terabyte-hdd-pakistan-priceoye-umwpg-500x500.webp,35.79 x 24.21 x 1.98 cm ,1.74 KG,Genuine Windows 10,11th Generation,15.6 Inches,1366 X 768,No,Yes,1 TB HDD,4 GB,Intel UHD Graphics,Intel Core i5,2.4 GHz Turbo Boost 4.2 GHz (4 Cores - 8 Threads),N/A,Bluetooth 5.0 Combo,Intel Wi-Fi 6 AX200 802.11ax (2x2) Wi-Fi,3 Ports,No,720p HD camera
hp,"https://priceoye.pk/laptops/hp/hp-ef2125wm-15-6-inches-amd-ryzen-5-8gb-ram-256gbssd
","hp ef2125wm 15 6 inches amd ryzen 5 8gb ram 256gbssd
","Rs  110,999",https://images.priceoye.pk/hp-ef2125wm-15-6-inches-amd-ryzen-5-8gb-ram-256gbssd-pakistan-priceoye-edrxl-500x500.webp,35.85 x 24.2 x 1.79 cm,1.69 kg,Genuine Windows 10 Home,AMD,15.6 Inches,1920x1080,No,Yes,256GB SSD,8GB ,AMD Radeon™ Graphics Integrated,AMD Ryzen 5 5500U,"2.1 GHz up to 4.0 GHz max boost clock, 8 MB L3 cache, 6 cores, 12 threads)","3-cell, 41 Wh Li-ion",Bluetooth® 4.2 combo,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,3 Ports,No,HP True Vision 720p HD camera with integrated dual array digital microphones
hp,"https://priceoye.pk/laptops/hp/hp-pavilion-eg000-tiger-lake-15-6-inches-core-i7-8gb-ram-512gb-ssd
","hp pavilion eg000 tiger lake 15 6 inches core i7 8gb ram 512gb ssd
","Rs  160,000",https://images.priceoye.pk/hp-pavilion-eg000-tiger-lake-15-6-inches-core-i7-8gb-ram-512gb-ssd-pakistan-priceoye-4xg7c-500x500.webp,14.18 x 9.21 x 0.70 in,3.86 lb,Genuine Windows 10 Home,11th Generation,15.6 Inches  ,1366x768,Yes,No,512GB SSD,8 GB,Intel Iris Xe Graphics,Intel Core i7,2.8 Ghz Turbo Boost Up to 4.7 GHz (4 Cores - 8 Threads),"3-cell, 41 Wh Lithium-ion prismatic Battery",Bluetooth 5 Combo(MU-MIMO supported),Intel 802.11b/g/n/ac (1x1) Wi-Fi,3 Ports,Yes,HP Wide Vision 720p HD camera with integrated dual array digital microphones
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-thinkpad-e15-15-6-inches-amd-ryzen-7-08gb-ram-512gb-ssd
","lenovo thinkpad e15 15 6 inches amd ryzen 7 08gb ram 512gb ssd
","Rs  145,500",https://images.priceoye.pk/lenovo-thinkpad-e15-15-6-inches-amd-ryzen-7-08gb-ram-512gb-ssd-pakistan-priceoye-i3psj-500x500.webp,N/A,1.7 kg (3.75 lbs),DOS,AMD,15.6 Inches,1920 x 1080,No,Yes,512GB SSD,8 GB,Integrated AMD Radeon™ Graphics,AMD Ryzen 7 5700U,2.0 GHz Max. Boost Clock Up to 4.1GHz,N/A,Bluetooth 5.0,"RTL8822CE 11ac, 2x2",2 Ports,Touch Style,720p HD with ThinkShutter camera cover
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-thinkpad-e15-15-6-inches-core-i5-8gb-ram-512gb-ssd
","lenovo thinkpad e15 15 6 inches core i5 8gb ram 512gb ssd
","Rs  159,255",https://images.priceoye.pk/lenovo-thinkpad-e15-15-6-inches-core-i5-8-gb-ram-512gb-ssd-pakistan-priceoye-9v1cu-500x500.webp,365 x 240 x 18.9 mm,1.7 kg,N/A,11th Generation,15.6 Inches,1920x1080,No,No,512 GB,8 GB,Intel Iris Xe Graphics,11th Generation Core i5,1.6 GHz Turbo Boost 4.2 GHz,Integrated 45Wh,Bluetooth 5.0,Yes,3 Ports,Touch Style,720p HD
lenovo,"https://priceoye.pk/laptops/lenovo/lenovo-v15-1135g7-15-6-inches-11th-gen-core-i5-4gb-ram-1tb-hdd
","lenovo v15 1135g7 15 6 inches 11th gen core i5 4gb ram 1tb hdd
","Rs  110,000",https://images.priceoye.pk/lenovo-v15-1135g7-15-6-inches-11th-gen-core-i5-4gb-ram-1tb-hdd-pakistan-priceoye-g60yb-500x500.webp,N/A,1.7 kg (3.75 lbs),DOS,11 gen,15.6 Inches,1920 x 1080 pixels,No,No,1TB,4GB Soldered DDR4-3200,Integrated Intel Iris Xe Graphics functions as UHD Graphics,11th Generation Intel Core i5 1135G7 QuadCore (8-MB SmartCache),2.4 GHz Turbo Boost 4.2 GHz (4 Cores - 8 Threads),3 Lithium-ion batteries,Yes,Yes,3,No,Yes
apple,"https://priceoye.pk/laptops/apple/apple-macbook-pro
","apple macbook pro
","Rs  443,000",https://images.priceoye.pk/apple-macbook-pro-pakistan-priceoye-i3tk9-500x500.webp,12.31 x 8.71 x 0.61 inches,3.5 pounds (1.6 kg),macOS,M1,14 inches,3024x1964,No,Yes,512 GB SSD,16 GB,Apple M1 Chip With 10-Cores GPU,Apple M1,8-core CPU with 6 performance cores and 2 efficiency cores 14-core GPU 16-core Neural Engine 200GB/s memory bandwidth,70-watt-hour lithium-polymer battery,Yes,Yes,Yes,Yes,1080p FaceTime HD camera
infinix,"https://priceoye.pk/laptops/infinix/infinix-inbook-x1-14-inches-core-i3-8gb-ram-256gb-ssd
","infinix inbook x1 14 inches core i3 8gb ram 256gb ssd
","Rs  79,999",https://images.priceoye.pk/infinix-inbook-x1-14-inches-core-i3-8gb-ram-256gb-ssd-pakistan-priceoye-4j0c0-500x500.webp,323.5  x 219.5 x 16.3 mm,1.48 kg,Windows 10 Home,10 Generation,14 Inches,1920*1080,Yes,Yes,256 GB,8 GB,Intel UHD Graphics,Intel Core i3,"1.2 GHz base frequency, up to 3.4 GHz with Intel Turbo Boost Technology, 4 MB L3 cache, 2 cores",WiFi 6 (2.4GHz),Yes,Yes,3 Ports,Yes,720P HD camera
asus,"https://priceoye.pk/laptops/asus/asus-vivobook-flip-tp412f-14-core-i5-quadcore-08gb-512gb-ssd
","asus vivobook flip tp412f 14 core i5 quadcore 08gb 512gb ssd
","Rs  131,999",https://images.priceoye.pk/asus-vivobook-flip-tp412f-14-core-i5-quadcore-08gb-512gb-ssd-pakistan-priceoye-qdzza-500x500.webp,32.70 x 22.50 x 1.75 ~ 1.76 cm,1.5 kg,Genuine Windows 10 Pro,10th Generation,14 inches,1920 x 1080,Yes,Yes,512 GB SSD,8GB,Intel® UHD Graphics,Intel Core i5,1.6 GHz Turbo Boost 4.2 GHz," 42WHrs, 3S1P, 3-cell Li-ion",Yes,Yes,1 x Type-C USB 3.0 (USB 3.1 Gen 1) 1 x USB 3.0 port(s) Type A 2 x USB 2.0 port(s) Type A,No,Yes
