brand,url,name,price,image,releaseDate,simSupport,dimensions,weight,os,screenSize,resolution,screenType,screenProtection,internalMemory,ram,cardSlot,processor,gpu,battery,frontCamera,frontFlash,frontVideoRec,backCamera,backFlash,backVideRec,bluetooth,3G,4G\LTE,5G,radio,wifi,nfc
apple,"https://priceoye.pk/mobiles/apple/apple-iphone-15
","apple iphone 15
","Rs  406,999",https://images.priceoye.pk/apple-iphone-15-pakistan-priceoye-mue4c-500x500.webp,2023-09-20,Nano-SIM and eSIM,147.6 x 71.6 x 7.8 mm,171 g,iOS 17,6.1 Inches,1179 x 2556 Pixels,Super Retina XDR OLED,Ceramic Shield glass,128/ 256/ 512 GB,6 GB,No,Apple A16 Bionic (4 nm) Hexa-core,Apple GPU (5-core graphics),3349 mAh,12 MP,No,"4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS",48 MP + 12 MP,Dual-LED dual-tone flash,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), Cinematic mode (4K@30fps), stereo sound rec.",Yes,Yes,No,Yes,No,Yes,Yes
apple,"https://priceoye.pk/mobiles/apple/apple-iphone-15-pro-max
","apple iphone 15 pro max
","Rs  524,999",https://images.priceoye.pk/apple-iphone-15-pro-max-pakistan-priceoye-1inne-500x500.webp,2023-09-12,Nano-SIM and eSIM,159.9 x 76.7 x 8.2 mm,221 g,iOS 17,6.7 Inches,2796 x 1290 Pixels,Super Retina XDR OLED,Ceramic Shield glass,256/ 512 GB/ 1 TB,8 GB,No,Apple A17 Pro Hexa-core,Apple GPU (6-core graphics),4422 mAh,12 MP,No,"4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS",48 MP + 12 MP + 12 MP,Yes,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (up to 60fps), ProRes, Cinematic mode (4K@24/30fps), 3D (spatial) video, stereo sound rec.",Yes,Yes,Yes,Yes,No,Yes,Yes
vivo,"https://priceoye.pk/mobiles/vivo/vivo-y73
","vivo y73
","Rs  70,999",https://images.priceoye.pk/vivo-y73-pakistan-priceoye-o980m-500x500.webp,2023-04-27,"Dual SIM (Nano-SIM, dual stand-by)",161.2 x 74.4 x 7.4 mm,170 g,"Android 11, Funtouch 11.1",6.44 inches,1080 x 2400 pixels,"AMOLED Capacitive Touchscreen, Multitouch",N/A,128 GB,8 GB,microSDXC (dedicated slot),Mediatek Helio G95,Mali-G76 MC4,"Li-Po 4000 mAh, non-removable",16 MP,No,1080p@30fps,64 MP + 2 MP + 2 MP,Yes,"4K@30fps, 1080p@30/60fps, gyro-EIS",Yes,Yes,Yes,No,Yes,Yes,No
itel,"https://priceoye.pk/mobiles/itel/itel-vision-3
","itel vision 3
","Rs  17,499",https://images.priceoye.pk/itel-vison-3-pakistan-priceoye-hqcnc-500x500.webp,2022-03-08,Dual Nano SIM,N/A,N/A,Android™ 11,6.6 Inches,720 x 1600 pixels,IPS LCD,N/A,64 GB,3 GB,microSDXC,"Octa-core, 1.6 GHz",N/A,5000mAh Battery,5 MP,No,Yes,8MP Dual Rear camera,Yes,1080p@30fps,Yes,Yes,Yes,No,Yes,Yes,No
gfive,"https://priceoye.pk/mobiles/gfive/gfive-speed
","gfive speed
","Rs  2,799",https://images.priceoye.pk/gfive-speed-pakistan-priceoye-qfw9u-500x500.webp,2023-06-16,Dual Sim,N/A,N/A,Proprietary OS,1.8 Inches,N/A,N/A,N/A,32 MB,32 MB,Yes,N/A,N/A,3000 mAh,No,No,No,0.08 MP,No,Yes,Yes,No,No,No,Yes,No,No
samsung,"https://priceoye.pk/mobiles/samsung/samsung-galaxy-a12
","samsung galaxy a12
","Rs  39,199",https://images.priceoye.pk/samsung-galaxy-a12-pakistan-priceoye-ogamh-500x500.webp,2020-11-24,"Dual SIM (Nano-SIM, dual stand-by)",164 x 75.8 x 8.9 mm,205 g,Android 10,6.5 inches,720 x 1600 pixels,PLS IPS,N/A,32/64/128 GB,2/3/4/6 GB,Yes,Mediatek MT6765 Helio P35,PowerVR GE8320,"Li-Po 5000 mAh, non-removable",8 MP,Yes,1080p@30fps,48 MP + 5 MP + 2 MP + 2 MP,Yes,1080p@30fps,Yes,Yes,Yes,No,No,Yes,No
apple,"https://priceoye.pk/mobiles/apple/apple-iphone-14-pro-max
","apple iphone 14 pro max
","Rs  499,999",https://images.priceoye.pk/apple-iphone-14-pro-max-pakistan-priceoye-yx4q3-500x500.webp,2022-09-29,Nano-SIM and eSIM,160.7 x 77.6 x 7.9 mm,240 g,iOS 16,6.7 inches,1290 x 2796 pixels,"LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)",Ceramic Shield glass,128/256/512/1TB,6 GB,No,Apple A16 Bionic,Apple GPU (5-core graphics),Li-Ion 4323 mAh,12 MP,No,"4K@24/25/30/60fps, 1080p@30/60/120fps, gyro-EIS",48 MP + 12 MP + 12 MP,Yes,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (up to 60fps), ProRes, Cinematic mode (4K@24/30fps).",Yes,Yes,Yes,Yes,No,Yes,Yes
apple,"https://priceoye.pk/mobiles/apple/apple-iphone-14
","apple iphone 14
","Rs  364,999",https://images.priceoye.pk/apple-iphone-14-pakistan-priceoye-o4vwr-500x500.webp,2022-09-07,Dual SIM (Nano-SIM and eSIM),146.7 x 71.5 x 7.8 mm,172 g,iOS 16,6.1 inches,1170 x 2532 pixels,"Super Retina XDR OLED, HDR10, Dolby Vision, 800 nits (HBM), 1200 nits (peak)",Ceramic Shield glass,128/256/512 GB,6 GB,No,Apple A15 Bionic (5 nm),Apple GPU (5-core graphics),"Li-Ion 3279 mAh, non-removable (12.68 Wh)",12 MP + SL 3D,No,"4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS",12 MP + 12 MP,Yes,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), Cinematic mode (4K@30fps), stereo sound rec.",Yes,Yes,Yes,Yes,No,Yes,Yes
oppo,"https://priceoye.pk/mobiles/oppo/oppo-a17
","oppo a17
","Rs  35,199",https://images.priceoye.pk/oppo-a17-pakistan-priceoye-4v434-500x500.webp,2023-06-05,"Dual SIM (Nano-SIM, dual stand-by)",164.2 x 75.6 x 8.3 mm,189 g,ColorOS 12.1,6.56 inches,720 x 1612 pixels,IPS LCD,Corning Gorilla Glass,64 GB,4 GB,microSDXC,Mediatek MT6765 Helio G35,PowerVR GE8320,"Li-Po 5000 mAh, non-removable",5 MP,No,Yes,50 MP + 2 MP,Yes,1080p@30fps,Yes,Yes,Yes,No,Yes,Yes,No
tecno,"https://priceoye.pk/mobiles/tecno/tecno-phantom-v-fold
","tecno phantom v fold
","Rs  312,999",https://images.priceoye.pk/tecno-phantom-v-fold-pakistan-priceoye-js44c-500x500.webp,2023-02-28,"Dual SIM (Nano-SIM, dual stand-by)",Unfolded: 159.4 x 140.4 x 6.9 mm Folded: 159.4 x 72 x 14.2-14.5 mm,299 g,"Android 13, HiOS 13 Fold","Main Screen: 7.85 Inches, Sub Screen: 6.43 Inches","Main Screen: 2000 x 2296 Pixels, Sub Screen: 1080 x 2550 Pixels","Foldable LTPO AMOLED, 1B colors, 120Hz, 1100 nits (peak)","Main Screen: Schott UTG, Sub Screen: Corning Gorilla Glass Victus",512 GB,12 GB,No,Mediatek Dimensity 9000+,Mali-G710 MC10,5000 mAh,16 MP,N/A,1080p@60fps,50 MP + 50 MP + 13 MP,Yes,"4K@30fps, 1080p@30/60fps",Yes,Yes,Yes,Yes,"FM radio, recording",Yes,Yes
