brand,url,name,price,image,simSupport,dimensions,strapMaterial,waterResistance,weight,os,speakers,mode,camera,screenSize,resulotion,screenType,ram,rom,wifi,gps,nfc,batteryCapacity,batteryLife
ronin,"https://priceoye.pk/smart-watches/ronin/ronin-r-02-smart-watch
","ronin r 02 smart watch
","Rs  9,999",https://images.priceoye.pk/ronin-r-02-smart-watch-pakistan-priceoye-iwzj3-500x500.webp,N/A,N/A,"Silicone (1x Black Strap, 1x Blue Strap)",IP68,N/A,"iOS 12.0 or above, Android 6.0 or above",N/A,100+ Sports Modes,N/A,1.43 Inches,360*360 Pixels,TFT Screen,N/A,N/A,N/A,N/A,N/A,300mAh,7 Days Standby Time
samsung,"https://priceoye.pk/smart-watches/samsung/samsung-galaxy-watch-6-bluetooth-40mm
","samsung galaxy watch 6 bluetooth 40mm
","Rs  49,299",https://images.priceoye.pk/samsung-galaxy-watch-6-bluetooth-40mm-pakistan-priceoye-dstho-500x500.webp,N/A,38.8 x 40.4 x 9.0 mm,Silicon,YES,28.7 g,Proprietary OS,Yes,Multiple sports modes,N/A,1.3,432 x 432,Super AMOLED,N/A,N/A,No,N/A,N/A,N/A,2-3 days
dany,"https://priceoye.pk/smart-watches/dany/dany-classic-pro-smart-watch
","dany classic pro smart watch
","Rs  6,999",https://images.priceoye.pk/dany-classic-pro-smart-watch-pakistan-priceoye-ee6ka-500x500.webp,N/A,N/A,Silicon,IP67,N/A,Proprietary OS,Yes,Multiple sports modes,N/A,1.39 inches,N/A,HD display,N/A,N/A,YES,N/A,No,N/A,2-3 days
dany,"https://priceoye.pk/smart-watches/dany/dany-thunder-smart-watch
","dany thunder smart watch
","Rs  7,899",https://images.priceoye.pk/dany-thunder-smart-watch-pakistan-priceoye-ezzhr-500x500.webp,N/A,N/A,Silicone,IP67,N/A,"Android 5.0 and Above, iOS 10.0+ and Above",Yes,100+ Sport Modes,N/A,1.39 Inches,360*360 Pixels,TFT HD Display,N/A,N/A,N/A,N/A,Yes,300mAh,5-7 Days
dany,"https://priceoye.pk/smart-watches/dany/dany-pulse-pro-smartwatch
","dany pulse pro smartwatch
","Rs  6,999",https://images.priceoye.pk/dany-pulse-pro-smartwatch-pakistan-priceoye-1k3e2-500x500.webp,N/A,N/A,Silicon,IP67,N/A,Proprietary OS,Yes,Multiple sports modes,N/A,1.78 inches,N/A,AMOLED HD Display,N/A,N/A,N/A,N/A,No,N/A,2-3 days
ronin,"https://priceoye.pk/smart-watches/ronin/r-011-luxe-smart-watch
","r 011 luxe smart watch
","Rs  13,499",https://images.priceoye.pk/r-011-luxe-smart-watch-pakistan-priceoye-ixn01-500x500.webp,N/A,N/A,Metallic,YES,N/A,Proprietary OS,Yes,Multiple sports modes,N/A,1.43 inches,N/A,Full-Touch,N/A,N/A,N/A,N/A,No,400 mAh,2-3 days
zero,"https://priceoye.pk/smart-watches/zero/zero-armour-smart-watch
","zero armour smart watch
","Rs  8,799",https://images.priceoye.pk/zero-armour-smart-watch-pakistan-priceoye-k4qh8-500x500.webp,N/A,N/A,Silicone,IP67,53.9g,"Android 5.0 and Above, iOS 10+ and Above",Yes,Multi-Sport Modes,N/A,1.32 Inches,360*360 Pixels,LCD Display,N/A,N/A,N/A,N/A,N/A,300mAh,5-7 Days
apple,"https://priceoye.pk/smart-watches/apple/apple-watch-series-9-41mm
","apple watch series 9 41mm
","Rs  107,999",https://images.priceoye.pk/apple-watch-series-9-41mm-pakistan-priceoye-ubb5u-500x500.webp,N/A,41 x 35 x 10.7mm,Silicon,50m (swim proof),31.9g,macOS,Yes,Multiple sports modes,N/A,N/A,N/A,OLED,N/A,N/A,N/A,N/A,No,N/A,upto 7 days
ronin,"https://priceoye.pk/smart-watches/ronin/ronin-r-09-smart-watch
","ronin r 09 smart watch
","Rs  9,999",https://images.priceoye.pk/ronin-r-09-smart-watch-pakistan-priceoye-z8ofb-500x500.webp,NO,NA,Silica Gel,IP68,NA,NA,yes,NA,NA,1.96'',410*502px,Full Touch,NA,NA,NA,NA,NA,300mAh,NA
samsung,"https://priceoye.pk/smart-watches/samsung/galaxy-watch6-classic-astro-edition
","galaxy watch6 classic astro edition
","Rs  77,999",https://images.priceoye.pk/galaxy-watch6-classic-astro-edition-pakistan-priceoye-ks0a6-500x500.webp,N/A,‎35 x 12 x 6.1 cm,Silicon,YES,N/A,Proprietary OS,Yes,Multiple sports modes,N/A,1.8 inches,N/A,bezel,N/A,N/A,N/A,N/A,No,N/A,Smart Battery Life
realme,"https://priceoye.pk/smart-watches/realme/realme-watch
","realme watch
","Rs  13,999",https://images.priceoye.pk/realme-watch-pakistan-priceoye-07yxc-500x500.webp,No,36.5 x 11.8 x 256 mm,Silicone,Yes,31g,Proprietary OS,No,14 sports mode,No,1.4 inches,320 x 320,IPS LCD,N/A,N/A,No,No,No,"Li-Ion 160 mAh, non-removable",7 to 9 days
ronin,"https://priceoye.pk/smart-watches/ronin/ronin-r-04-smart-watch
","ronin r 04 smart watch
","Rs  9,599",https://images.priceoye.pk/ronin-r-04-smart-watch-pakistan-priceoye-qok2v-500x500.webp,N/A,N/A,"Silicone (1x Black Strap, 1x Blue Strap)",Yes,N/A,"iOS 12.0 or above, Android 6.0 or above",Yes,100+ Sport Modes,N/A,2.02 Inches,240*296 Pixels,N/A,N/A,N/A,N/A,N/A,N/A,300mAh,7 Days Standby Time
