Display:,Refresh Rate:,Brightness:,Processor:,CPU,GPU:,Rear Camera:,Front Camera:,Battery & Charging:,Water and Dust Resistant:,Security:,Network & Connectivity:,Sensors:,Operating System:,Audio:,Navigation & Positioning:,Dimensions:
 6.53” HD+ Dot Drop display,,, MediaTek Helio G25,,, 13MP main camera - 2MP depth camera, 5MP,,,,,,, 3.5mm headphone jack,,
" 6.43"" FHD+ AMOLED DotDisplay",,, Snapdragon® 680,,, 50MP wide camera, 13MP front camera,,," Side fingerprint sensor, AI Face Unlock"," Dual SIM, microSD",," Android 11, MIUI 13"," Dual speakers, 3.5mm headphone jack, Hi-Res Audio certification"," GPS L1, Glonass G1, BDS B1, Galileo E1",
" 6.43"" FHD+ AMOLED DotDisplay",,, Snapdragon® 680,,,, 13MP front camera,,, Side fingerprint sensor - AI Face Unlock, Dual SIM + microSD, Proximity sensor | Ambient light sensor | Accelerometer | Electronic compass | IR blaster ｜Gyroscope, MIUI 13 based on Android 11, Dual speakers - 3.5mm headphone jack - Hi-Res Audio certification, GPS L1 | Glonass G1 | BDS B1 | Galileo E1, Height: 159.87mm - Width: 73.87mm - Thickness: 8.09mm - Weight: 179g
,,,,,,,,,,,, Vibration Motor Distance Sensor Ambient Light Sensor Accelerometer Electronic compass,,,,
" 6.43"" FHD+ AMOLED DotDisplay",,, MediaTek Helio G96,,,,, 5000mAh (typ) battery | 33W Pro fast Charging,, Side fingerprint sensor | AI Face Unlock," Dual SIM, dual standby: 4G+4G", Proximity sensor | Ambient light sensor | Gyroscope | Accelerometer | Electronic compass | IR blaster," MIUI 13 for POCO, based on Android 11", Dual speakers - Hi-Res Audio certification,, Height: 159.87mm - Width: 73.87mm - Thickness: 8.09mm - Weight: 179.5g
" FHD+ 6.28"" AMOLED DotDisplay", 120Hz,, Snapdragon® 8 Gen 1,,, 50MP wide angle camera - 13MP ultra-wide - 5MP telemacro Camera, 32MP in-display selfie camera, 4500mAh (typ) battery | 67W wired turbo charging | 50W wireless turbo charging | 10W reverse wireless charging | Inbox 67W charger,,, Dual SIM – Supports 5G* / 4G / 3G/ 2G, Proximity sensor | Ambient light sensor | Accelerometer | Gyroscope | Electronic compass | Linear motor | IR blaster | Flicker sensor," MIUI 13, android 12", Dual speakers - Dolby Atmos® - SOUND BY Harman Kardon, GPS: L1+L5Galileo: E1+E5a | GLONASS: G1 | Beidou| NavIC: L5A-GPS supplementary positioning | Electronic compass | Wireless network | Data network| SAP,
" WQHD+ 6.73"" AMOLED DotDisplay",,, Snapdragon® 8 Gen 1,,, 50MP wide angle camera - 50MP ultra-wide angle camera - 50MP telephoto camera, 32MP in-display selfie camera, 4600mAh (typ) battery - 120W Xiaomi HyperCharge - 18mins to 100% (Boost mode) 24mins to 100% (Standard mode) - 50W wireless turbo charging,,, Dual SIM* - Supports 5G* / 4G / 3G/ 2G, Proximity sensor | Ambient light sensor | Accelerometer | Gyroscope | Electronic compass | Linear motor | IR blaster | Barometer | Flicker sensor," MIUI 13, android 12", Quad speakers - Dolby Atmos® - SOUND BY Harman Kardon, GPS: L1+L5  - Galileo: E1+E5a | GLONASS: G1 | Beidou| NavIC: L5A-GPS supplementary positioning | Electronic compass | Wireless network | Data network| SAP, Height: 163.6mm - Width: 74.6mm - Thickness: 8.16mm - Weight: 205g
" 6.67"" AMOLED DotDisplay - 2400 x 1080",,, Qualcomm®️ Snapdragon™️ 888,,, 108MP+8MP+5MP triple camera, 16MP in-display selfie camera - f/2.45, 5000mAh (typ) battery* - 120W Xiaomi HyperCharge*,,, Dual SIM* - Supports 5G* / 4G / 3G/ 2G, Proximity sensor | Ambient light sensor | Accelerometer | Gyroscope | Electronic compass | Linear motor | IR blaster | Barometer | Colour temperature sensor," MIUI 12.5, android 11", Dual dedicated speakers - SOUND BY Harman Kardon,,
" 6.67"" FHD+ AMOLED DotDisplay",,, MediaTek Helio G96,,, 108MP wide camera - 8MP ultra-wide camera - 2MP macro camera - 2MP depth camera, 16MP front camera, 5000mAh (typ) - 67W turbo charging,, Side fingerprint sensor - AI Face Unlock, SIM1 +Hybrid（SIM or MicroSD）, Proximity sensor | Ambient light sensor | Accelerometer  | Electronic compass | IR blaster ｜Gyroscope," MIUI 13, based on Android 11", Dual speakers - 3.5mm headphone jack - Hi-Res Audio certification, GPS L1 | Glonass G1 | BDS B1 | Galileo E1, Height: 164.19mm - Width: 76.1mm - Thickness: 8.12mm - Weight: 202g
 6.67” AMOLED Dot Display - 120Hz Refresh Rate,,, Qualcomm® Snapdragon™ 870,,, 48MP Main Camera, 20MP front camera,,,,, Proximity sensor | Ambient light sensor | Accelerometer | Gyroscope | Electronic compass | Linear motor | IR blaster, MIUI 12 for POCO, Dual speakers - Hi-Res Audio certification, GPS: L1+L5 - Galileo: E1+E5a | GLONASS: G1 | Beidou: B1I+B2a | Navic, Height: 163.7mm | Width: 76.4mm | Thickness: 7.8mm | Weight: 196g
" 6.67"" AMOLED DotDisplay - 120Hz Refresh rate",,," MediaTek Dimensity 1200-Ultra - Up to 3.0GHz, with A78",,, 108MP+8MP+5MP triple camera, 16MP in-display selfie camera, 5000mAh (typ) battery - 67W wired turbo charging,,, Dual SIM* - Supports 5G* / 4G / 3G/ 2G, Proximity sensor | Ambient light sensor | Accelerometer | Gyroscope | Electronic compass | Linear motor | IR blaster | Barometer | Colour temperature sensor," MIUI 12.5, android 11", Dual speakers - Dolby Atmos® support - Hi-Res Audio certification, GPS: L1+L5 - Galileo: E1+E5a | GLONASS: G1 | Beidou | QZSS:L1+L5,
" 6.67"" AMOLED DotDisplay - 120Hz Refresh rate",,," MediaTek Dimensity 1200-Ultra - Up to 3.0GHz, with A78",,, 108MP+8MP+5MP triple camera, 16MP in-display selfie camera, 5000mAh (typ) battery - 67W wired turbo charging,,, Dual SIM* - Supports 5G* / 4G / 3G/ 2G, Proximity sensor | Ambient light sensor | Accelerometer | Gyroscope | Electronic compass | Linear motor | IR blaster | Barometer | Colour temperature sensor," MIUI 12.5, android 11", Dual speakers - Dolby Atmos® support - Hi-Res Audio certification, GPS: L1+L5 - Galileo: E1+E5a | GLONASS: G1 | Beidou | QZSS:L1+L5,
" 6.6"" FHD+ DotDisplay, 2400x1080 FHD+, Refresh rate: 120Hz, Touch sampling rate: 240Hz",,," MediaTek Dimensity 1100, CPU: 4x Arm Cortex-A78 up to 2.6GHz",,,,, 5000mAh (typ) battery | 67W Turbo Charging,," Side fingerprint sensor | AI Face Unlock | Wireless Networks: Bluetooth 5.2, Wi-FI 6",, Proximity sensor | Ambient light sensor | Accelerometer | Gyroscope | Electronic compass | Vibration motor | IR blaster, MIUI 12.5 for POCO,," GPS: L1, Galileo: E1 | GLONASS: G1 | Compass: B1 I QZSS: L1丨A-GPS",
" 6.6"" FHD+ DotDisplay, 2400x1080 FHD+, Refresh rate: 120Hz, Touch sampling rate: 240Hz",,," MediaTek Dimensity 1100, CPU: 4x Arm Cortex-A78 up to 2.6GHz,",,,,, 5000mAh (typ) battery | 67W Turbo Charging,," Side fingerprint sensor | AI Face Unlock | Wireless Networks: Bluetooth 5.2, Wi-FI 6",, Proximity sensor | Ambient light sensor | Accelerometer | Gyroscope | Electronic compass | Vibration motor | IR blaster, MIUI 12.5 for POCO,," GPS: L1, Galileo: E1 | GLONASS: G1 | Compass: B1 I QZSS: L1丨A-GPS",
" 6.5"" FHD+ DotDisplay - 2400 x 1080, 405 ppi",,, MediaTek Helio G88,,,,, 5000mAh (typ) battery - 18W fast charging - 9W reverse wired charging - 22.5W in-box charger USB-C,, Side fingerprint sensor - AI Face Unlock,, Proximity sensor | Ambient light sensor | Accelerometer  | Electronic compass | Vibration motor | IR Blaster,, Dual speakers3.5mm headphone jack, GPS: L1 - Galileo: E1 | GLONASS | Beidou | A-GPS supplementary positioning | Electronic compass | Wireless network | Data network, Height: 161.95mm - Width: 75.53mm - Thickness: 8.92mm - Weight: 181g
" 6.5"" FHD+ DotDisplay - 2400 x 1080, 405 ppi",,, MediaTek Helio G88,,,,, 5000mAh (typ) battery - 18W fast charging - 9W reverse wired charging - 22.5W in-box charger USB-C,, Side fingerprint sensor - AI Face Unlock,, Proximity sensor | Ambient light sensor | Accelerometer  | Electronic compass | Vibration motor | IR Blaster,, Dual speakers3.5mm headphone jack, GPS: L1 - Galileo: E1 | GLONASS | Beidou | A-GPS supplementary positioning | Electronic compass | Wireless network | Data network, Height: 161.95mm - Width: 75.53mm - Thickness: 8.92mm - Weight: 181g
" Quad-curved display - WQHD+ 6.81"" AMOLED DotDisplay",,, Qualcomm® Snapdragon™ 888,,,, 20MP in-display selfie camera, 4600mAh (typ) battery - 55W wired turbo charging/ 50W wireless turbo charging/ 10W reverse wireless charging,, In-screen fingerprint sensor (Supports In-display heart rate monitoring)AI face unlock, Supports 5G / 4G / 3G/ 2G – Dual Sim, Proximity sensor | Ambient light sensor | Accelerometer | Gyroscope | Electronic compass | Linear motor | IR blaster," MIUI 12, Android 11", Dual Speakers - Hi-Res Audio certification, GPS: L1+L5 - Galileo: E1+E5a | GLONASS: G1 | Beidou, Height: 164.3mm - Width: 74.6mm - Thickness: 8.06mm
